material_label,paper_category,wavelength_um,emissivity,reflectivity,source_file
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.2795,0.98381,0.01619,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.2531,0.98308,0.01692,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.2269,0.98357,0.01643,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.2008,0.9828,0.0172,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.175,0.98203,0.01797,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.1493,0.98139,0.01861,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.1237,0.98156,0.01844,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.0983,0.98095,0.01905,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.0731,0.98053,0.01947,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.048,0.97841,0.02159,alumdisk.prn
"Black Painted, Anodized Aluminum Disk",Anti-Infrared Coating,8.0231,0.97929,0.02071,alumdisk.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.9326,0.89192,0.10808,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.8581,0.89517,0.10483,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.7844,0.89396,0.10604,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.7115,0.89633,0.10367,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.6393,0.89905,0.10095,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.5679,0.90082,0.09918,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.4972,0.90444,0.09556,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.4273,0.90326,0.09674,alumgrte.prn
"Black Painted, Anodized Aluminum Grate",Anti-Infrared Coating,13.3581,0.90144,0.09856,alumgrte.prn
